image_path,class_label,attributes,caption,split,instance_id
images/team13_clothing_cap_001.jpg,clothing_cap,color:red;material:fabric;condition:new;size:large;style:casual,baseball cap in red in front view,train,TEAM13_CLOTHING_CAP_A
images/team13_clothing_cap_002.jpg,clothing_cap,color:red;material:fabric;condition:new;size:large;style:casual,baseball cap in red in top view with logo,train,TEAM13_CLOTHING_CAP_A
images/team13_clothing_cap_003.jpg,clothing_cap,color:black;material:fabric;condition:new;size:medium;style:vintage,headwear cap displaying design and style,train,TEAM13_CLOTHING_CAP_B
images/team13_clothing_cap_004.jpg,clothing_cap,color:black;material:fabric;condition:new;size:medium;style:vintage,headwear cap displaying brand and design in back view,train,TEAM13_CLOTHING_CAP_B
images/team13_clothing_cap_005.jpg,clothing_cap,color:black;material:fabric;condition:new;size:medium;style:vintage,baseball cap with curved brim and logo,train,TEAM13_CLOTHING_CAP_B
images/team13_clothing_cap_006.jpg,clothing_cap,color:white;material:fabric;condition:worn;size:large;style:vintage,baseball cap in white color with stitching,train,TEAM13_CLOTHING_CAP_C
images/team13_clothing_cap_007.jpg,clothing_cap,color:white;material:fabric;condition:worn;size:large;style:vintage,baseball cap with curved brim and logo,train,TEAM13_CLOTHING_CAP_C
images/team13_clothing_cap_008.jpg,clothing_cap,color:white;material:fabric;condition:worn;size:large;style:vintage,casual cap showing front view and details,train,TEAM13_CLOTHING_CAP_C
images/team13_clothing_cap_009.jpg,clothing_cap,color:white;material:fabric;condition:worn;size:large;style:vintage,cap with adjustable strap and fabric material,train,TEAM13_CLOTHING_CAP_C
images/team13_clothing_cap_010.jpg,clothing_cap,color:white;material:fabric;condition:worn;size:large;style:vintage,headwear cap displaying brand and design,train,TEAM13_CLOTHING_CAP_C
images/team13_clothing_cap_011.jpg,clothing_cap,color:gray;material:synthetic;condition:new;size:small;style:casual,cap with adjustable strap and fabric material in back view,test,TEAM13_CLOTHING_CAP_D
images/team13_clothing_cap_012.jpg,clothing_cap,color:gray;material:synthetic;condition:new;size:small;style:casual,headwear cap displaying brand and design,test,TEAM13_CLOTHING_CAP_D
images/team13_clothing_cap_013.jpg,clothing_cap,color:gray;material:synthetic;condition:new;size:small;style:casual,cap in grey color in front view,test,TEAM13_CLOTHING_CAP_D
images/team13_clothing_cap_014.jpg,clothing_cap,color:red;material:cotton;condition:worn;size:large;style:sports,baseball cap with curved brim and logo in pink,train,TEAM13_CLOTHING_CAP_E
images/team13_clothing_cap_015.jpg,clothing_cap,color:red;material:cotton;condition:worn;size:large;style:sports,casual cap showing Top view and details in pink,train,TEAM13_CLOTHING_CAP_E
images/team13_clothing_cap_016.jpg,clothing_cap,color:blue;material:fabric;condition:used;size:small;style:casual,headwear cap displaying design in top view,train,TEAM13_CLOTHING_CAP_F
images/team13_clothing_cap_017.jpg,clothing_cap,color:blue;material:fabric;condition:used;size:small;style:casual, cap in solid blue color in back view,train,TEAM13_CLOTHING_CAP_F
images/team13_clothing_cap_018.jpg,clothing_cap,color:black;material:synthetic;condition:new;size:large;style:sports,baseball cap with curved brim and logo,test,TEAM13_CLOTHING_CAP_G
images/team13_clothing_cap_019.jpg,clothing_cap,color:black;material:synthetic;condition:new;size:large;style:sports,casual cap showing front view and details,test,TEAM13_CLOTHING_CAP_G
images/team13_clothing_cap_020.jpg,clothing_cap,color:black;material:synthetic;condition:new;size:large;style:sports,cap with fabric material in lateral view,test,TEAM13_CLOTHING_CAP_G
